book_id,title_word_count,title_avg_word_length,._count,!_count,?_count,",_count",``_count,length,proper_names,pos_sentiment,neu_sentiment,neg_sentiment,point_of_view,sim_alle,sim_cs,sim_dam,sim_gah,sim_hawas,sim_lit,sim_lar,sim_saa,sim_ws,genre
pg5235,8,4.75,0.021830698854114768,0.0022872412699850536,0.0037818741790841977,0.0836767969563839,0.013202590697042438,44158,0.00765433217084107,0.147,0.767,0.087,0.7217939733707078,0.4804303050041199,0.6332480907440186,0.7364619970321655,0.7165359258651733,0.6566612720489502,0.6853863596916199,0.5244401693344116,0.6916249990463257,0.6636883020401001,Literary
pg40566,11,4.545454545454546,0.05787842974414668,0.0022678634171271602,0.0048232024786788895,0.05792634235155077,0.016513878685278052,62614,0.007490337624173508,0.129,0.777,0.094,0.4386684906520748,0.6875447630882263,0.6597061157226562,0.7415503263473511,0.680971622467041,0.6985793709754944,0.6170278191566467,0.7094937562942505,0.6217116713523865,0.6532120704650879,Literary
pg35361,3,5.333333333333333,0.05185185185185185,0.002822328179935462,0.006424890430091991,0.06753359341135674,0.02942734672253528,103815,0.003323219187978616,0.124,0.805,0.071,0.5458253358925144,0.4423336386680603,0.5219999551773071,0.9429144859313965,0.6280392408370972,0.5307060480117798,0.5015307068824768,0.5067609548568726,0.5291021466255188,0.5444227457046509,Detective and Mystery
pg9993,3,8.0,0.04595888535302505,0.004825352458474585,0.00684614585595709,0.0611337217537465,0.019839658542573583,105899,0.004296546709600657,0.128,0.784,0.08900000000000001,0.5059351940968879,0.540299654006958,0.659942090511322,0.5881897211074829,0.6247254014015198,0.6895477771759033,0.68074631690979,0.5082076787948608,0.5970391035079956,0.6700217723846436,Literary
pg17308,1,7.0,0.03959013655929939,0.003673742021671367,0.008910679827816534,0.06262524120528425,0.01865166246103607,215584,0.00411904408490426,0.142,0.769,0.08900000000000001,0.4522205417296851,0.5172058939933777,0.5171505212783813,0.5412702560424805,0.5710537433624268,0.5831754207611084,0.5930953025817871,0.5388787984848022,0.5800027847290039,0.57655268907547,Literary
pg29902,5,4.0,0.04139802433710138,0.013616657235408657,0.0055384505705539785,0.06078482919026337,0.023936087260672544,224431,0.005756780480414916,0.11699999999999999,0.802,0.081,0.4477463543968184,0.46585214138031006,0.47639894485473633,0.6352899074554443,0.6173555850982666,0.5919784903526306,0.39525359869003296,0.48140114545822144,0.5166555047035217,0.5812065601348877,Literary
pg40926,3,4.666666666666667,0.03963296428725283,0.0049971998449144855,0.005212596389953905,0.07823202515831645,0.021884288976004824,23213,0.005772627407056391,0.151,0.763,0.086,0.4259259259259259,0.5841597318649292,0.6227014064788818,0.8336114883422852,0.5989381074905396,0.584476113319397,0.6641014814376831,0.6228605508804321,0.5297448039054871,0.7062206268310547,Literary
pg37204,2,5.5,0.0395807331391855,0.004934590671659039,0.0030277816299172557,0.055574816252946885,0.0105510100309712,86532,0.0025192992187861142,0.106,0.7959999999999999,0.09699999999999999,0.19104173736002714,0.5317188501358032,0.4624282121658325,0.3757789134979248,0.4278331398963928,0.6346655488014221,0.4513203799724579,0.5598577857017517,0.47513413429260254,0.9440574049949646,Western Stories
pg14253,1,6.0,0.05333918778964048,0.0026679139204016664,0.006977621022588974,0.06324244608093467,0.017716093868570638,209527,0.002014060240446339,0.12300000000000001,0.764,0.113,0.3769309989701339,0.4767816960811615,0.5126649737358093,0.5309495329856873,0.5624226331710815,0.5372177362442017,0.5652971863746643,0.48970726132392883,0.555038571357727,0.5342254042625427,Literary
pg34138,3,5.333333333333333,0.04367060022466445,0.0054892242128058745,0.006508320691132703,0.08942571597317922,0.034081828814952926,86351,0.003578418315943069,0.128,0.7659999999999999,0.106,0.5774365821094793,0.4469597637653351,0.6226009130477905,0.5290273427963257,0.3799901008605957,0.6661350131034851,0.6243107318878174,0.42374932765960693,0.5286484956741333,0.46675431728363037,Literary
pg34657,7,4.0,0.03182361871463404,0.007843768689331555,0.00652113907162902,0.06138151538850808,0.017941758292312645,86948,0.004795970005060496,0.134,0.787,0.079,0.4772269246271665,0.5495496988296509,0.5776797533035278,0.715262770652771,0.6580754518508911,0.5890518426895142,0.6407009363174438,0.5810055732727051,0.5941171646118164,0.5046372413635254,Literary
pg39207,3,5.0,0.026707946336429308,0.0038596491228070173,0.0034674922600619195,0.07463364293085656,0.01570691434468524,48450,0.004313725490196078,0.18100000000000002,0.731,0.08800000000000001,0.4463141025641026,0.57973712682724,0.6821531653404236,0.6388722062110901,0.7569077610969543,0.5204494595527649,0.6207516193389893,0.5377455949783325,0.582042932510376,0.5666664838790894,Literary
pg39692,8,3.875,0.04343809871362102,0.00385457531247149,0.005804671106650853,0.06410227169053917,0.01942112945899097,87688,0.0026571480704315298,0.11900000000000001,0.8009999999999999,0.081,0.5100529100529101,0.5312296152114868,0.7032576203346252,0.609567403793335,0.5672301054000854,0.5790238380432129,0.6143783330917358,0.4362955689430237,0.5622707009315491,0.593662440776825,Literary
pg33604,2,5.0,0.03205889919270865,0.0034219026268615268,0.006664134948732712,0.07421608620907907,0.022083113849722124,244893,0.005773950255826014,0.139,0.7809999999999999,0.08,0.5227491703243764,0.49381959438323975,0.5450215339660645,0.577573835849762,0.5858648419380188,0.572771430015564,0.5543102025985718,0.5189077854156494,0.6115649938583374,0.5461498498916626,Literary
pg34662,5,3.8,0.03140782828282828,0.0009469696969696972,0.0022095959595959595,0.09075126262626262,0.003945707070707071,6336,0.010732323232323232,0.166,0.759,0.075,0.7352941176470589,0.652116060256958,0.555172324180603,0.7804934978485107,0.7847474813461304,0.6088379621505737,0.6491037607192993,0.6168763637542725,0.564948320388794,0.6597079038619995,Literary
pg11005,1,3.0,0.0900372559850506,0.002115481800980173,0.007733261250249744,0.04758658784538178,0.034776170272779634,85087,0.007274906860037373,0.113,0.826,0.061,0.4215536938309216,0.5438432693481445,0.5357223749160767,0.5912717580795288,0.5239239931106567,0.7708686590194702,0.565030038356781,0.6266841292381287,0.5803277492523193,0.6693493127822876,Literary
pg26828,3,4.666666666666667,0.04687840488123773,0.0037154064066245366,0.01140771409893223,0.06000762693397254,0.0006646328176073219,183560,0.005022880801917629,0.13699999999999998,0.79,0.07200000000000001,0.4638888888888889,0.538325309753418,0.6855893135070801,0.5285375118255615,0.5303357839584351,0.5170010328292847,0.5327163934707642,0.452173113822937,0.49815303087234497,0.48216915130615234,Literary
pg36071,7,7.142857142857142,0.020706358992425573,0.0034261053373260525,0.001779108684164171,0.08827725911573013,0.0047560331160824395,113540,0.007900299453936938,0.151,0.774,0.07400000000000001,0.3126347563605002,0.5246388912200928,0.5726652145385742,0.5790784955024719,0.5744761228561401,0.6322016716003418,0.4377343952655792,0.6331109404563904,0.7488510012626648,0.509394645690918,Literary
pg42906,7,4.285714285714286,0.04259308359531836,0.004299079580318927,0.004507405022537025,0.060925722510510975,0.015491837430400363,52802,0.0034847164880118177,0.149,0.736,0.115,0.6601809954751131,0.4985829293727875,0.7597252130508423,0.7075026631355286,0.5417842268943787,0.5570458173751831,0.6121597290039062,0.5358912348747253,0.6086241602897644,0.646990954875946,Detective and Mystery
